"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eloy Jimenez","CHW","52","203","7","20","28","0","9.4%","20.7%",".150",".353",".300",".369",".450",".359",".350","137","-0.1","8.3","-5.2","1.0","17484"
"David Fletcher","LAA","40","149","2","16","15","1","4.7%","5.4%",".109",".297",".290",".333",".399",".322",".321","109","0.6","2.2","2.5","1.0","17992"
"Brian Anderson","MIA","67","256","5","30","17","1","11.3%","29.3%",".134",".340",".241",".336",".375",".315",".313","104","0.0","1.4","-1.0","1.0","18289"
"Cavan Biggio","TOR","69","220","3","30","18","2","13.2%","27.3%",".145",".298",".215",".329",".360",".310",".304","103","1.0","1.6","0.6","1.0","19252"
"Joey Wendle","MIA","77","284","2","19","27","10","4.2%","12.7%",".095",".284",".254",".296",".348",".284",".273","83","1.4","-4.2","3.5","0.9","13853"
"Gio Urshela","MIN","107","399","11","43","49","0","6.3%","17.0%",".158",".295",".266",".308",".424",".316",".322","108","-5.0","-1.3","-2.2","0.9","10681"
"Austin Barnes","LAD","45","150","6","22","20","2","12.7%","16.7%",".173",".186",".189",".307",".362",".301",".304","94","-1.5","-2.6","6.4","0.9","12158"
"Eli White","TEX","47","117","3","16","10","12","9.4%","35.0%",".105",".290",".200",".274",".305",".261",".255","68","4.2","0.0","5.3","0.9","19346"
"Bryson Stott","PHI","96","349","8","41","39","8","7.4%","17.2%",".130",".256",".227",".287",".357",".285",".287","80","2.5","-5.7","2.5","0.9","26294"
"Myles Straw","CLE","118","474","0","57","23","15","9.3%","14.6%",".052",".237",".200",".275",".252",".242",".275","54","4.8","-19.8","13.7","0.9","17620"
"Ji-Man Choi","TBR","91","348","9","29","48","0","13.8%","29.9%",".148",".326",".236",".339",".384",".319",".329","114","-2.7","2.9","-5.1","0.9","5452"
"Nolan Gorman","STL","76","278","13","43","33","1","9.0%","30.9%",".199",".309",".239",".313",".438",".329",".357","114","-0.1","4.6","-5.5","0.9","22263"
"Tyrone Taylor","MIL","93","326","13","34","41","1","5.2%","26.1%",".192",".262",".222",".273",".414",".298",".299","89","0.7","-3.4","0.8","0.9","13675"
"Rowdy Tellez","MIL","119","466","27","50","75","1","10.5%","20.0%",".248",".229",".229",".318",".477",".338",".364","116","-5.7","3.2","-10.8","0.9","15679"
